Cultura,PainelRecomendado
"Acelga", "Sistema Suspenso e semitransparente"
"Alface",Sistema Suspenso e semitransparente
"Batata-baroa (mandioquinha)",Sistema Suspenso e semitransparente
"Batata-doce",Sistema Suspenso e semitransparente
"Couve",Sistema Suspenso e semitransparente
"Espinafre",Sistema Suspenso e semitransparente
"Morango",Sistema Suspenso e semitransparente
"Repolho",Sistema Suspenso e semitransparente
"Rúcula",Sistema Suspenso e semitransparente
"Tomate (estaqueado)",Sistema Suspenso e semitransparente
"Abacate", "Estruturas elevadas e modulares, Adaptados à pomares e pastagens arborizadas"

"Café (em grão) Total","Estruturas elevadas e modulares, Adaptados à pomares e pastagens arborizadas"
"Maçã", "Estruturas elevadas e modulares, Adaptados à pomares e pastagens arborizadas"
"Pêssego", "Estruturas elevadas e modulares, Adaptados à pomares e pastagens arborizadas"
"Uva", "Estruturas elevadas e modulares, Adaptados à pomares e pastagens arborizadas"

"Abobrinha", Sistemas mistos com painéis ajustáveis e integração vertical
"Beterraba", Sistemas mistos com painéis ajustáveis e integração vertical
"Chuchu", Sistemas mistos com painéis ajustáveis e integração vertical
"Jiló", Sistemas mistos com painéis ajustáveis e integração vertical
"Pimentão", Sistemas mistos com painéis ajustáveis e integração vertical
